sku,qty,price
51629-BK,100000,"1,100"
51629-SR,100000,"1,100"
51629-WE,100000,"1,100"
51630,100000,"11,860"
51631,100000,"4,990"
51632,100000,"2,960"
51633,100000,"2,090"
51634,100000,"5,760"
51635,100000,"19,520"
51636,100000,"32,650"
51637,100000,"23,090"
51638-S,100000,"20,780"
51639,100000,"37,260"
51640,100000,"49,860"
51641,100000,"1,880"
51642,100000,"5,220"
51643,100000,"5,230"
51644,100000,"2,480"
51645,100000,"11,700"
51647,100000,"12,430"
51648,100000,"4,090"
51649,100000,"32,390"
51650-BK,100000,"0,630"
51650-SR,100000,"0,630"
51651,100000,"8,920"
51652,100000,"9,330"
51653,100000,"13,330"
51654,100000,"3,500"
51655,100000,"3,500"
51656,100000,"1,850"
51657,100000,"5,460"
51658,100000,"6,290"
51659,100000,"24,980"
51660,100000,"3,720"
51661,100000,"4,990"
51663,100000,"6,790"
51665-WE,100000,"1,520"
51666-BK,100000,"14,990"
51666-WE,100000,"14,990"
51667,100000,"29,900"
51668,100000,"8,350"
51669,100000,"3,990"
51671,100000,"17,420"
51672,100000,"12,430"
51673,100000,"4,600"
51674,100000,"11,490"
51676,100000,"3,120"
51677-BE,100000,"0,920"
51677-BK,100000,"0,920"
51677-RD,100000,"0,920"
51677-SR,100000,"0,920"
51679,100000,"18,680"
51681-BK,100000,"26,680"
51681-S,100000,"26,680"
51683,100000,"12,080"
51684,100000,"7,330"
51685,100000,"47,990"
51688-WEBE,100000,"0,280"
51688-WEBK,100000,"0,280"
51688-WELGN,100000,"0,280"
51688-WEMG,100000,"0,280"
51688-WEOE,100000,"0,180"
51688-WERD,100000,"0,280"
51688-WEWE,100000,"0,280"
51688-WEYW,100000,"0,280"
51689-BK,100000,"4,190"
51689-S,100000,"4,190"
51689-WE,100000,"4,190"
51690-BK,100000,"1,250"
51690-WE,100000,"1,250"
51693-BK,100000,"1,150"
51693-WE,100000,"1,150"
51694-BK,100000,"1,150"
51694-BKR,100000,"2,090"
51694-WE,100000,"1,150"
51694-WER,100000,"2,090"
51695-BK,100000,"5,980"
51695-WE,100000,"5,980"
51707-BE,100000,"0,390"
51707-BK,100000,"0,390"
51707-DGY,100000,"0,390"
51707-RD,100000,"0,390"
51708-BE,100000,"0,390"
51708-BK,100000,"0,390"
51708-DGY,100000,"0,390"
51708-RD,100000,"0,390"
51708-SR,100000,"0,390"
51709-BE,100000,"0,280"
51709-BK,100000,"0,280"
51709-DGY,100000,"0,280"
51709-RD,100000,"0,280"
51709-SR,100000,"0,280"
51713-BK,100000,"1,230"
51713-SR,100000,"1,230"
51714,100000,"14,990"
51715,100000,"11,990"
51716,100000,"7,990"
51717,100000,"1,150"
51718,100000,"5,760"
51719,100000,"5,990"
51720,100000,"7,330"
51721-BK,100000,"1,290"
51721-BKR,100000,"2,090"
51721-WE,100000,"1,360"
51721-WER,100000,"2,090"
51722,100000,"9,990"
51723,100000,"2,390"
51724,100000,"4,990"
51725,100000,"6,200"
51726,100000,"8,080"
51727,100000,"7,330"
51728,100000,"11,530"
51729,100000,"4,390"
51730,100000,"9,960"
51731,100000,"6,200"
51732,100000,"0,790"
51733,100000,"0,790"
51734,100000,"2,930"
51735-BK,100000,"0,290"
51735-RD,100000,"0,290"
51735-SR,100000,"0,290"
51736,100000,"12,430"
51737,100000,"6,200"
51738,100000,"3,990"
51739,100000,"6,920"
51740,100000,"6,920"
51741,100000,"8,390"
51742-BK,100000,"1,460"
51742-SR,100000,"1,460"
51742-WE,100000,"1,460"
51743,100000,"29,990"
51744,100000,"25,700"
51745-DGY,100000,"3,500"
51745-SR,100000,"3,500"
51746-BK,100000,"0,330"
51746-SR,100000,"0,330"
51746-WE,100000,"0,330"
51747,100000,"7,990"
51748,100000,"6,990"
51749,100000,"15,730"
51751,100000,"9,790"
51752,100000,"4,190"
51754,100000,"2,720"
51755,100000,"7,100"
51756,100000,"5,760"
51757,100000,"23,050"
51758,100000,"22,360"
51759,100000,"24,980"
51760,100000,"13,630"
51761,100000,"5,990"
51762,100000,"6,990"
51763,100000,"7,990"
51764-BK,100000,"3,130"
51764-OE,100000,"3,130"
51765-BK,100000,"4,190"
51765-OE,100000,"4,190"
51766-SR,100000,"6,290"
51767-L,100000,"6,880"
51767-S,100000,"3,460"
51767-XL,100000,"9,960"
51771,100000,"19,990"
51772,100000,"6,590"
51773,100000,"2,990"
51774,100000,"7,990"
51776,100000,"19,990"
51777-BK,100000,"4,990"
51777-BK-R,100000,"4,990"
51777-WE,100000,"4,990"
51777-WE-R,100000,"4,990"
51778,100000,"3,990"
51779-BE,100000,"13,990"
51779-BK,100000,"13,990"
51779-RD,100000,"13,990"
51779-WE,100000,"13,990"
51780-BE,100000,"13,580"
51780-BK,100000,"13,580"
51780-RD,100000,"17,990"
51780-WE,100000,"13,580"
51781,100000,"4,990"
51782,100000,"14,290"
51783,100000,"19,990"
51784-BE,100000,"3,990"
51784-BK,100000,"3,990"
51784-RD,100000,"3,990"
51784-SR,100000,"3,990"
51785,100000,"9,990"
51789-BE,100000,"3,790"
51789-BK,100000,"3,790"
51789-RD,100000,"3,790"
51789-WE,100000,"3,790"
51790-BE,100000,"0,930"
51790-BK,100000,"0,930"
51791-BK,100000,"1,550"
51791-DBE,100000,"1,550"
51791-LGN,100000,"1,550"
51791-RD,100000,"1,550"
51792-BK,100000,"1,290"
51792-DBE,100000,"1,290"
51792-LGN,100000,"1,290"
51792-RD,100000,"1,290"
51793-BE,100000,"0,300"
51793-WE,100000,"0,300"
51794-BE,100000,"0,400"
51794-LBN,100000,"0,400"
51794-RD,100000,"0,400"
51795-BE,100000,"0,250"
51795-LBN,100000,"0,250"
51795-RD,100000,"0,250"
51796-BK,100000,"0,850"
51796-DBE,100000,"0,850"
51796-LGN,100000,"0,850"
51796-RD,100000,"0,850"
51797-WE,100000,"9,990"
51798-WE,100000,"54,800"
51799,100000,"10,390"
51800-WE,100000,"5,990"
51801-BE,100000,"1,290"
51801-BK,100000,"1,290"
51801-RD,100000,"1,290"
51801-WE,100000,"1,290"
51802-BK,100000,"5,790"
51803-BK,100000,"4,720"
51804-BK,100000,"1,990"
51805-BK,100000,"2,990"
51806-BK,100000,"2,720"
51808-BK,100000,"4,820"
51809-BK,100000,"7,330"
51810,100000,"7,990"
51811,100000,"5,230"
51812-WE,100000,"2,090"
51813-WE,100000,"2,130"
51815-WE,100000,"1,980"
51816-BK,100000,"25,700"
51817-BK,100000,"11,990"
51817-WE,100000,"11,990"
51818-BK,100000,"31,490"
51819,100000,"7,330"
51820-BK,100000,"5,230"
51820-WE,100000,"5,230"
51821-BK,100000,"7,990"
51821-WE,100000,"7,990"
51822-BE,100000,"1,230"
51822-BK,100000,"1,230"
51822-MG,100000,"1,230"
51822-SR,100000,"1,230"
51823-BK,100000,"11,860"
51824,100000,"0,930"
51825-BK,100000,"5,620"
51827,100000,"8,080"
51830-BE,100000,"0,480"
51830-BK,100000,"0,480"
51830-RD,100000,"0,480"
51831-BK,100000,"11,860"
51832-BE,100000,"3,550"
51832-BK,100000,"3,550"
51832-LGN,100000,"3,550"
51832-MG,100000,"3,550"
51832-RD,100000,"3,550"
51832-SR,100000,"3,550"
51832-WE,100000,"3,550"
51833-BK,100000,"8,720"
51833-WE,100000,"8,720"
51834-BE,100000,"1,460"
51836,100000,"13,990"
51837-BKR,100000,"1,880"
51837-WER,100000,"1,880"
51839,100000,"5,230"
51840,100000,"7,330"
51842-BK,100000,"24,980"
51843-RD,100000,"2,980"
51845,100000,"1,720"
