sku,price,errors
50664,2.720,"Product Type is invalid or not supported"
50672,2.300,"Product Type is invalid or not supported"
50673,7.450,"Product Type is invalid or not supported"
50674,4.390,"Product Type is invalid or not supported"
50675,4.690,"Product Type is invalid or not supported"
50679,3.980,"Product Type is invalid or not supported"
50682,11.030,"Product Type is invalid or not supported"
50690-BE,1.560,"Product Type is invalid or not supported"
50690-GY,1.560,"Product Type is invalid or not supported"
50690-SR,1.560,"Product Type is invalid or not supported"
50694-BE,3.690,"Product Type is invalid or not supported"
50694-BK,3.690,"Product Type is invalid or not supported"
50694-BKR,3.690,"Product Type is invalid or not supported"
50694-DGN,3.690,"Product Type is invalid or not supported"
50694-LRD,3.690,"Product Type is invalid or not supported"
50694-M,3.690,"Product Type is invalid or not supported"
50694-MG,3.690,"Product Type is invalid or not supported"
50694-RD,3.690,"Product Type is invalid or not supported"
50694-S,3.690,"Product Type is invalid or not supported"
50694-WEC,3.690,"Product Type is invalid or not supported"
50703,3.720,"Product Type is invalid or not supported"
50703-DGY,3.720,"Product Type is invalid or not supported"
50703-OE,3.720,"Product Type is invalid or not supported"
50719,2.480,"Product Type is invalid or not supported"
50732,11.180,"Product Type is invalid or not supported"
50733,3.250,"Product Type is invalid or not supported"
50776,4.600,"Product Type is invalid or not supported"
50793,5.980,"Product Type is invalid or not supported"
50801,18.320,"Product Type is invalid or not supported"
50805,6.760,"Product Type is invalid or not supported"
50806,11.590,"Product Type is invalid or not supported"
50810,10.500,"Product Type is invalid or not supported"
50811,4.290,"Product Type is invalid or not supported"
50812,10.500,"Product Type is invalid or not supported"
50822,11.700,"Product Type is invalid or not supported"
50823,10.490,"Product Type is invalid or not supported"
50826,7.330,"Product Type is invalid or not supported"
50847-RD,4.280,"Product Type is invalid or not supported"
50858,16.990,"Product Type is invalid or not supported"
50868,18.680,"Product Type is invalid or not supported"
50883-GY,2.230,"Product Type is invalid or not supported"
50884-CR,2.230,"Product Type is invalid or not supported"
50884-GY,2.230,"Product Type is invalid or not supported"
50891,13.080,"Product Type is invalid or not supported"
50895-SR,2.720,"Product Type is invalid or not supported"
50903,0.820,"Product Type is invalid or not supported"
50904,15.590,"Product Type is invalid or not supported"
50920,3.980,"Product Type is invalid or not supported"
50931,15.000,"Product Type is invalid or not supported"
50936,3.030,"Product Type is invalid or not supported"
50937,3.030,"Product Type is invalid or not supported"
50943,1.290,"Product Type is invalid or not supported"
50950,3.460,"Product Type is invalid or not supported"
50952,58.580,"Product Type is invalid or not supported"
50973,8.390,"Product Type is invalid or not supported"
50976,16.160,"Product Type is invalid or not supported"
50981,14.280,"Product Type is invalid or not supported"
51002,8.390,"Product Type is invalid or not supported"
51003,5.200,"Product Type is invalid or not supported"
51006,10.850,"Product Type is invalid or not supported"
51012,5.990,"Product Type is invalid or not supported"
51015,12.960,"Product Type is invalid or not supported"
51018-BK,8.800,"Product Type is invalid or not supported"
51032,7.330,"Product Type is invalid or not supported"
51033,10.490,"Product Type is invalid or not supported"
51035,7.820,"Product Type is invalid or not supported"
51048,12.430,"Product Type is invalid or not supported"
51062,19.920,"Product Type is invalid or not supported"
51069-BE,1.030,"Product Type is invalid or not supported"
51069-RD,1.030,"Product Type is invalid or not supported"
51069-SR,1.030,"Product Type is invalid or not supported"
51069-WE,1.030,"Product Type is invalid or not supported"
51071,27.490,"Product Type is invalid or not supported"
51078,3.880,"Product Type is invalid or not supported"
51079,3.880,"Product Type is invalid or not supported"
51082,5.200,"Product Type is invalid or not supported"
51084-OE,1.990,"Product Type is invalid or not supported"
51085-BK,4.990,"Product Type is invalid or not supported"
51085-GN,4.990,"Product Type is invalid or not supported"
51085-LBE,4.990,"Product Type is invalid or not supported"
51085-RD,4.990,"Product Type is invalid or not supported"
51091-LBE,2.850,"Product Type is invalid or not supported"
51105,13.850,"Product Type is invalid or not supported"
51112,9.080,"Product Type is invalid or not supported"
51113,20.950,"Product Type is invalid or not supported"
51140,3.990,"Product Type is invalid or not supported"
51154,4.990,"Product Type is invalid or not supported"
51155,6.600,"Product Type is invalid or not supported"
51161,1.850,"Product Type is invalid or not supported"
51165,13.080,"Product Type is invalid or not supported"
51170,34.280,"Product Type is invalid or not supported"
51173,12.430,"Product Type is invalid or not supported"
51176,4.990,"Product Type is invalid or not supported"
51181,4.190,"Product Type is invalid or not supported"
51182,3.990,"Product Type is invalid or not supported"
