sku,qty,price,errors
50891,100000,"13,080","Product Type is invalid or not supported"
50895-SR,100000,"2,720","Product Type is invalid or not supported"
50903,100000,"0,820","Product Type is invalid or not supported"
50904,100000,"15,590","Product Type is invalid or not supported"
50920,100000,"3,980","Product Type is invalid or not supported"
50931,100000,"15,000","Product Type is invalid or not supported"
50936,100000,"3,030","Product Type is invalid or not supported"
50937,100000,"3,030","Product Type is invalid or not supported"
50943,100000,"1,290","Product Type is invalid or not supported"
50950,100000,"3,460","Product Type is invalid or not supported"
50952,100000,"58,580","Product Type is invalid or not supported"
50973,100000,"8,390","Product Type is invalid or not supported"
50976,100000,"16,160","Product Type is invalid or not supported"
50981,100000,"14,280","Product Type is invalid or not supported"
51002,100000,"8,390","Product Type is invalid or not supported"
51003,100000,"5,200","Product Type is invalid or not supported"
51006,100000,"10,850","Product Type is invalid or not supported"
51012,100000,"5,990","Product Type is invalid or not supported"
51015,100000,"12,960","Product Type is invalid or not supported"
51018-BK,100000,"8,800","Product Type is invalid or not supported"
51032,100000,"7,330","Product Type is invalid or not supported"
51033,100000,"10,490","Product Type is invalid or not supported"
51035,100000,"7,820","Product Type is invalid or not supported"
51048,100000,"12,430","Product Type is invalid or not supported"
51062,100000,"19,920","Product Type is invalid or not supported"
51069-BE,100000,"1,030","Product Type is invalid or not supported"
51069-RD,100000,"1,030","Product Type is invalid or not supported"
51069-SR,100000,"1,030","Product Type is invalid or not supported"
51069-WE,100000,"1,030","Product Type is invalid or not supported"
51071,100000,"27,490","Product Type is invalid or not supported"
51078,100000,"3,880","Product Type is invalid or not supported"
51079,100000,"3,880","Product Type is invalid or not supported"
51082,100000,"5,200","Product Type is invalid or not supported"
51084-OE,100000,"1,990","Product Type is invalid or not supported"
51085-BK,100000,"4,990","Product Type is invalid or not supported"
51085-GN,100000,"4,990","Product Type is invalid or not supported"
51085-LBE,100000,"4,990","Product Type is invalid or not supported"
51085-RD,100000,"4,990","Product Type is invalid or not supported"
51091-LBE,100000,"2,850","Product Type is invalid or not supported"
51105,100000,"13,850","Product Type is invalid or not supported"
51112,100000,"9,080","Product Type is invalid or not supported"
51113,100000,"20,950","Product Type is invalid or not supported"
51140,100000,"3,990","Product Type is invalid or not supported"
51154,100000,"4,990","Product Type is invalid or not supported"
51155,100000,"6,600","Product Type is invalid or not supported"
51161,100000,"1,850","Product Type is invalid or not supported"
51165,100000,"13,080","Product Type is invalid or not supported"
51170,100000,"34,280","Product Type is invalid or not supported"
51173,100000,"12,430","Product Type is invalid or not supported"
51176,100000,"4,990","Product Type is invalid or not supported"
51181,100000,"4,190","Product Type is invalid or not supported"
51182,100000,"3,990","Product Type is invalid or not supported"
51187,100000,"3,560","Product Type is invalid or not supported"
51195,100000,"9,960","Product Type is invalid or not supported"
51196,100000,"6,080","Product Type is invalid or not supported"
51197,100000,"7,230","Product Type is invalid or not supported"
51198,100000,"9,230","Product Type is invalid or not supported"
51202,100000,"4,190","Product Type is invalid or not supported"
51206,100000,"13,230","Product Type is invalid or not supported"
51207,100000,"7,820","Product Type is invalid or not supported"
51208,100000,"5,760","Product Type is invalid or not supported"
51213,100000,"14,500","Product Type is invalid or not supported"
51214,100000,"21,620","Product Type is invalid or not supported"
51225,100000,"0,420","Product Type is invalid or not supported"
51240,100000,"12,080","Product Type is invalid or not supported"
51241,100000,"2,420","Product Type is invalid or not supported"
51242-BK,100000,"1,460","Product Type is invalid or not supported"
51251,100000,"14,990","Product Type is invalid or not supported"
51265-BK,100000,"5,200","Product Type is invalid or not supported"
51290,100000,"9,990","Product Type is invalid or not supported"
51291,100000,"16,790","Product Type is invalid or not supported"
51294,100000,"43,580","Product Type is invalid or not supported"
51295-GY,100000,"8,930","Product Type is invalid or not supported"
51299,100000,"24,130","Product Type is invalid or not supported"
51310,100000,"8,720","Product Type is invalid or not supported"
51311,100000,"8,080","Product Type is invalid or not supported"
51323-RD,100000,"0,420","Product Type is invalid or not supported"
51327,100000,"10,390","Product Type is invalid or not supported"
51330,100000,"2,620","Product Type is invalid or not supported"
51338,100000,"6,920","Product Type is invalid or not supported"
51339,100000,"9,190","Product Type is invalid or not supported"
51340,100000,"4,190","Product Type is invalid or not supported"
51341,100000,"4,290","Product Type is invalid or not supported"
51348,100000,"4,590","Product Type is invalid or not supported"
51350,100000,"1,500","Product Type is invalid or not supported"
51351,100000,"1,500","Product Type is invalid or not supported"
51354,100000,"3,660","Product Type is invalid or not supported"
51356,100000,"3,990","Product Type is invalid or not supported"
51357,100000,"4,820","Product Type is invalid or not supported"
51358,100000,"7,330","Product Type is invalid or not supported"
51359,100000,"13,630","Product Type is invalid or not supported"
51360,100000,"10,450","Product Type is invalid or not supported"
51361,100000,"6,200","Product Type is invalid or not supported"
51364,100000,"6,600","Product Type is invalid or not supported"
51367,100000,"2,930","Product Type is invalid or not supported"
51369,100000,"16,790","Product Type is invalid or not supported"
51371,100000,"2,720","Product Type is invalid or not supported"
51374,100000,"10,490","Product Type is invalid or not supported"
51376,100000,"24,980","Product Type is invalid or not supported"
51377,100000,"4,190","Product Type is invalid or not supported"
51377-S,100000,"3,690","Product Type is invalid or not supported"
51377-SR,100000,"3,690","Product Type is invalid or not supported"
51378,100000,"10,490","Product Type is invalid or not supported"
51381,100000,"9,990","Product Type is invalid or not supported"
51391,100000,"11,030","Product Type is invalid or not supported"
51393,100000,"28,660","Product Type is invalid or not supported"
51394,100000,"19,930","Product Type is invalid or not supported"
51401-BE,100000,"0,790","Product Type is invalid or not supported"
51401-RD,100000,"0,790","Product Type is invalid or not supported"
51401-WE,100000,"0,790","Product Type is invalid or not supported"
51402-WE,100000,"1,030","Product Type is invalid or not supported"
51405,100000,"8,350","Product Type is invalid or not supported"
51410,100000,"3,130","Product Type is invalid or not supported"
51412,100000,"12,430","Product Type is invalid or not supported"
51413,100000,"5,760","Product Type is invalid or not supported"
51414,100000,"6,920","Product Type is invalid or not supported"
51415,100000,"4,400","Product Type is invalid or not supported"
51416,100000,"8,720","Product Type is invalid or not supported"
51417,100000,"15,730","Product Type is invalid or not supported"
51418,100000,"1,490","Product Type is invalid or not supported"
51419,100000,"1,490","Product Type is invalid or not supported"
51423,100000,"11,180","Product Type is invalid or not supported"
51424,100000,"52,330","Product Type is invalid or not supported"
51427,100000,"6,080","Product Type is invalid or not supported"
51428,100000,"11,860","Product Type is invalid or not supported"
51430,100000,"2,480","Product Type is invalid or not supported"
51433,100000,"4,960","Product Type is invalid or not supported"
51437,100000,"6,590","Product Type is invalid or not supported"
51438,100000,"5,200","Product Type is invalid or not supported"
51440-BE,100000,"0,500","Product Type is invalid or not supported"
51440-WE,100000,"0,500","Product Type is invalid or not supported"
51441-BK,100000,"0,800","Product Type is invalid or not supported"
51441-RD,100000,"0,800","Product Type is invalid or not supported"
51441-WE,100000,"0,800","Product Type is invalid or not supported"
51442,100000,"5,560","Product Type is invalid or not supported"
51443,100000,"2,620","Product Type is invalid or not supported"
51444,100000,"2,480","Product Type is invalid or not supported"
51445,100000,"22,030","Product Type is invalid or not supported"
51454,100000,"12,430","Product Type is invalid or not supported"
51455,100000,"9,990","Product Type is invalid or not supported"
51457,100000,"33,060","Product Type is invalid or not supported"
51458-BE,100000,"0,880","Product Type is invalid or not supported"
51458-GY,100000,"0,880","Product Type is invalid or not supported"
51458-RD,100000,"0,880","Product Type is invalid or not supported"
51460-BE,100000,"0,320","Product Type is invalid or not supported"
51460-BK,100000,"0,320","Product Type is invalid or not supported"
51460-RD,100000,"0,230","Product Type is invalid or not supported"
51460-WE,100000,"0,320","Product Type is invalid or not supported"
51462,100000,"26,230","Product Type is invalid or not supported"
51467,100000,"0,920","Product Type is invalid or not supported"
51467-BK,100000,"0,920","Product Type is invalid or not supported"
51469,100000,"5,200","Product Type is invalid or not supported"
51472,100000,"10,490","Product Type is invalid or not supported"
51473,100000,"5,620","Product Type is invalid or not supported"
51474,100000,"3,990","Product Type is invalid or not supported"
51475,100000,"4,400","Product Type is invalid or not supported"
51476,100000,"6,990","Product Type is invalid or not supported"
51477,100000,"4,820","Product Type is invalid or not supported"
51478,100000,"2,720","Product Type is invalid or not supported"
51480,100000,"10,490","Product Type is invalid or not supported"
51481,100000,"16,750","Product Type is invalid or not supported"
51482,100000,"4,600","Product Type is invalid or not supported"
51483,100000,"2,820","Product Type is invalid or not supported"
51487,100000,"4,290","Product Type is invalid or not supported"
51493,100000,"1,290","Product Type is invalid or not supported"
51494,100000,"4,820","Product Type is invalid or not supported"
51495,100000,"3,880","Product Type is invalid or not supported"
51496,100000,"5,620","Product Type is invalid or not supported"
51497,100000,"14,850","Product Type is invalid or not supported"
51498,100000,"7,690","Product Type is invalid or not supported"
51499,100000,"8,080","Product Type is invalid or not supported"
51501,100000,"24,980","Product Type is invalid or not supported"
51502,100000,"7,330","Product Type is invalid or not supported"
51503,100000,"4,990","Product Type is invalid or not supported"
51504,100000,"8,700","Product Type is invalid or not supported"
51505,100000,"12,430","Product Type is invalid or not supported"
51508,100000,"11,180","Product Type is invalid or not supported"
51509,100000,"16,790","Product Type is invalid or not supported"
51510,100000,"57,730","Product Type is invalid or not supported"
51511-BK,100000,"3,720","Product Type is invalid or not supported"
51511-SR,100000,"3,720","Product Type is invalid or not supported"
51512,100000,"14,690","Product Type is invalid or not supported"
51514,100000,"2,990","Product Type is invalid or not supported"
51517-BE,100000,"3,290","Product Type is invalid or not supported"
51517-LRD,100000,"3,290","Product Type is invalid or not supported"
51518-BK,100000,"0,980","Product Type is invalid or not supported"
51518-LRD,100000,"0,980","Product Type is invalid or not supported"
51518-SR,100000,"0,980","Product Type is invalid or not supported"
51518-WE,100000,"0,980","Product Type is invalid or not supported"
51519,100000,"6,200","Product Type is invalid or not supported"
51520,100000,"8,390","Product Type is invalid or not supported"
51521,100000,"3,990","Product Type is invalid or not supported"
51522,100000,"6,560","Product Type is invalid or not supported"
51523,100000,"9,990","Product Type is invalid or not supported"
51524,100000,"12,990","Product Type is invalid or not supported"
51528,100000,"4,990","Product Type is invalid or not supported"
51530,100000,"9,290","Product Type is invalid or not supported"
51531,100000,"13,630","Product Type is invalid or not supported"
51533,100000,"3,880","Product Type is invalid or not supported"
51534,100000,"2,820","Product Type is invalid or not supported"
51535,100000,"6,200","Product Type is invalid or not supported"
51537,100000,"2,190","Product Type is invalid or not supported"
51538,100000,"4,990","Product Type is invalid or not supported"
51540-BK,100000,"1,150","Product Type is invalid or not supported"
51540-WE,100000,"1,150","Product Type is invalid or not supported"
51541-BK,100000,"0,800","Product Type is invalid or not supported"
51541-WE,100000,"0,800","Product Type is invalid or not supported"
51546,100000,"41,950","Product Type is invalid or not supported"
51549,100000,"10,180","Product Type is invalid or not supported"
51550,100000,"6,560","Product Type is invalid or not supported"
51551,100000,"11,180","Product Type is invalid or not supported"
51552,100000,"28,590","Product Type is invalid or not supported"
51554,100000,"2,990","Product Type is invalid or not supported"
51555,100000,"2,990","Product Type is invalid or not supported"
51556,100000,"4,820","Product Type is invalid or not supported"
51557,100000,"2,090","Product Type is invalid or not supported"
51558,100000,"3,130","Product Type is invalid or not supported"
51559,100000,"49,860","Product Type is invalid or not supported"
51560,100000,"11,860","Product Type is invalid or not supported"
