sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
50937,All Websites [EUR],ALL GROUPS,1,3.030
50943,All Websites [EUR],ALL GROUPS,1,1.290
50950,All Websites [EUR],ALL GROUPS,1,3.460
50952,All Websites [EUR],ALL GROUPS,1,58.580
50973,All Websites [EUR],ALL GROUPS,1,8.390
50976,All Websites [EUR],ALL GROUPS,1,16.160
50981,All Websites [EUR],ALL GROUPS,1,14.280
51002,All Websites [EUR],ALL GROUPS,1,8.390
51003,All Websites [EUR],ALL GROUPS,1,5.200
51006,All Websites [EUR],ALL GROUPS,1,10.850
51012,All Websites [EUR],ALL GROUPS,1,5.990
51015,All Websites [EUR],ALL GROUPS,1,12.960
51018-BK,All Websites [EUR],ALL GROUPS,1,8.800
51032,All Websites [EUR],ALL GROUPS,1,7.330
51033,All Websites [EUR],ALL GROUPS,1,10.490
51035,All Websites [EUR],ALL GROUPS,1,7.820
51048,All Websites [EUR],ALL GROUPS,1,12.430
51062,All Websites [EUR],ALL GROUPS,1,19.920
51069-BE,All Websites [EUR],ALL GROUPS,1,1.030
51069-RD,All Websites [EUR],ALL GROUPS,1,1.030
51069-SR,All Websites [EUR],ALL GROUPS,1,1.030
51069-WE,All Websites [EUR],ALL GROUPS,1,1.030
51071,All Websites [EUR],ALL GROUPS,1,27.490
51078,All Websites [EUR],ALL GROUPS,1,3.880
51079,All Websites [EUR],ALL GROUPS,1,3.880
51082,All Websites [EUR],ALL GROUPS,1,5.200
51084-OE,All Websites [EUR],ALL GROUPS,1,1.990
51085-BK,All Websites [EUR],ALL GROUPS,1,4.990
51085-GN,All Websites [EUR],ALL GROUPS,1,4.990
51085-LBE,All Websites [EUR],ALL GROUPS,1,4.990
51085-RD,All Websites [EUR],ALL GROUPS,1,4.990
51091-LBE,All Websites [EUR],ALL GROUPS,1,2.850
51105,All Websites [EUR],ALL GROUPS,1,13.850
51112,All Websites [EUR],ALL GROUPS,1,9.080
51113,All Websites [EUR],ALL GROUPS,1,20.950
51140,All Websites [EUR],ALL GROUPS,1,3.990
51154,All Websites [EUR],ALL GROUPS,1,4.990
51155,All Websites [EUR],ALL GROUPS,1,6.600
51161,All Websites [EUR],ALL GROUPS,1,1.850
51165,All Websites [EUR],ALL GROUPS,1,13.080
51170,All Websites [EUR],ALL GROUPS,1,34.280
51173,All Websites [EUR],ALL GROUPS,1,12.430
51176,All Websites [EUR],ALL GROUPS,1,4.990
51181,All Websites [EUR],ALL GROUPS,1,4.190
51182,All Websites [EUR],ALL GROUPS,1,3.990
51187,All Websites [EUR],ALL GROUPS,1,3.560
51195,All Websites [EUR],ALL GROUPS,1,9.960
51196,All Websites [EUR],ALL GROUPS,1,6.080
51197,All Websites [EUR],ALL GROUPS,1,7.230
51198,All Websites [EUR],ALL GROUPS,1,9.230
51202,All Websites [EUR],ALL GROUPS,1,4.190
51206,All Websites [EUR],ALL GROUPS,1,13.230
51207,All Websites [EUR],ALL GROUPS,1,7.820
51208,All Websites [EUR],ALL GROUPS,1,5.760
51213,All Websites [EUR],ALL GROUPS,1,14.500
51214,All Websites [EUR],ALL GROUPS,1,21.620
51225,All Websites [EUR],ALL GROUPS,1,420
51240,All Websites [EUR],ALL GROUPS,1,12.080
51241,All Websites [EUR],ALL GROUPS,1,2.420
51242-BK,All Websites [EUR],ALL GROUPS,1,1.460
51251,All Websites [EUR],ALL GROUPS,1,14.990
51265-BK,All Websites [EUR],ALL GROUPS,1,5.200
51290,All Websites [EUR],ALL GROUPS,1,9.990
51291,All Websites [EUR],ALL GROUPS,1,16.790
51294,All Websites [EUR],ALL GROUPS,1,43.580
51295-GY,All Websites [EUR],ALL GROUPS,1,8.930
51299,All Websites [EUR],ALL GROUPS,1,24.130
51310,All Websites [EUR],ALL GROUPS,1,8.720
51311,All Websites [EUR],ALL GROUPS,1,8.080
51323-RD,All Websites [EUR],ALL GROUPS,1,420
51327,All Websites [EUR],ALL GROUPS,1,10.390
51330,All Websites [EUR],ALL GROUPS,1,2.620
51338,All Websites [EUR],ALL GROUPS,1,6.920
51339,All Websites [EUR],ALL GROUPS,1,9.190
51340,All Websites [EUR],ALL GROUPS,1,4.190
51341,All Websites [EUR],ALL GROUPS,1,4.290
51348,All Websites [EUR],ALL GROUPS,1,4.590
51350,All Websites [EUR],ALL GROUPS,1,1.500
51351,All Websites [EUR],ALL GROUPS,1,1.500
51354,All Websites [EUR],ALL GROUPS,1,3.660
51356,All Websites [EUR],ALL GROUPS,1,3.990
51357,All Websites [EUR],ALL GROUPS,1,4.820
51358,All Websites [EUR],ALL GROUPS,1,7.330
51359,All Websites [EUR],ALL GROUPS,1,13.630
51360,All Websites [EUR],ALL GROUPS,1,10.450
51361,All Websites [EUR],ALL GROUPS,1,6.200
51364,All Websites [EUR],ALL GROUPS,1,6.600
51367,All Websites [EUR],ALL GROUPS,1,2.930
51369,All Websites [EUR],ALL GROUPS,1,16.790
51371,All Websites [EUR],ALL GROUPS,1,2.720
51374,All Websites [EUR],ALL GROUPS,1,10.490
51376,All Websites [EUR],ALL GROUPS,1,24.980
51377,All Websites [EUR],ALL GROUPS,1,4.190
51377-S,All Websites [EUR],ALL GROUPS,1,3.690
51377-SR,All Websites [EUR],ALL GROUPS,1,3.690
51378,All Websites [EUR],ALL GROUPS,1,10.490
51381,All Websites [EUR],ALL GROUPS,1,9.990
51391,All Websites [EUR],ALL GROUPS,1,11.030
51393,All Websites [EUR],ALL GROUPS,1,28.660
51394,All Websites [EUR],ALL GROUPS,1,19.930
51401-BE,All Websites [EUR],ALL GROUPS,1,790
51401-RD,All Websites [EUR],ALL GROUPS,1,790
51401-WE,All Websites [EUR],ALL GROUPS,1,790
51402-WE,All Websites [EUR],ALL GROUPS,1,1.030
51405,All Websites [EUR],ALL GROUPS,1,8.350
51410,All Websites [EUR],ALL GROUPS,1,3.130
51412,All Websites [EUR],ALL GROUPS,1,12.430
51413,All Websites [EUR],ALL GROUPS,1,5.760
51414,All Websites [EUR],ALL GROUPS,1,6.920
51415,All Websites [EUR],ALL GROUPS,1,4.400
51416,All Websites [EUR],ALL GROUPS,1,8.720
51417,All Websites [EUR],ALL GROUPS,1,15.730
51418,All Websites [EUR],ALL GROUPS,1,1.490
51419,All Websites [EUR],ALL GROUPS,1,1.490
51423,All Websites [EUR],ALL GROUPS,1,11.180
51424,All Websites [EUR],ALL GROUPS,1,52.330
51427,All Websites [EUR],ALL GROUPS,1,6.080
51428,All Websites [EUR],ALL GROUPS,1,11.860
51430,All Websites [EUR],ALL GROUPS,1,2.480
51433,All Websites [EUR],ALL GROUPS,1,4.960
51437,All Websites [EUR],ALL GROUPS,1,6.590
51438,All Websites [EUR],ALL GROUPS,1,5.200
51440-BE,All Websites [EUR],ALL GROUPS,1,500
51440-WE,All Websites [EUR],ALL GROUPS,1,500
51441-BK,All Websites [EUR],ALL GROUPS,1,800
51441-RD,All Websites [EUR],ALL GROUPS,1,800
51441-WE,All Websites [EUR],ALL GROUPS,1,800
51442,All Websites [EUR],ALL GROUPS,1,5.560
51443,All Websites [EUR],ALL GROUPS,1,2.620
51444,All Websites [EUR],ALL GROUPS,1,2.480
51445,All Websites [EUR],ALL GROUPS,1,22.030
51454,All Websites [EUR],ALL GROUPS,1,12.430
51455,All Websites [EUR],ALL GROUPS,1,9.990
51457,All Websites [EUR],ALL GROUPS,1,33.060
51458-BE,All Websites [EUR],ALL GROUPS,1,880
51458-GY,All Websites [EUR],ALL GROUPS,1,880
51458-RD,All Websites [EUR],ALL GROUPS,1,880
51460-BE,All Websites [EUR],ALL GROUPS,1,320
51460-BK,All Websites [EUR],ALL GROUPS,1,320
51460-RD,All Websites [EUR],ALL GROUPS,1,230
51460-WE,All Websites [EUR],ALL GROUPS,1,320
51462,All Websites [EUR],ALL GROUPS,1,26.230
51467,All Websites [EUR],ALL GROUPS,1,920
51467-BK,All Websites [EUR],ALL GROUPS,1,920
51469,All Websites [EUR],ALL GROUPS,1,5.200
51472,All Websites [EUR],ALL GROUPS,1,10.490
51473,All Websites [EUR],ALL GROUPS,1,5.620
51474,All Websites [EUR],ALL GROUPS,1,3.990
51475,All Websites [EUR],ALL GROUPS,1,4.400
51476,All Websites [EUR],ALL GROUPS,1,6.990
51477,All Websites [EUR],ALL GROUPS,1,4.820
51478,All Websites [EUR],ALL GROUPS,1,2.720
51480,All Websites [EUR],ALL GROUPS,1,10.490
51481,All Websites [EUR],ALL GROUPS,1,16.750
51482,All Websites [EUR],ALL GROUPS,1,4.600
51483,All Websites [EUR],ALL GROUPS,1,2.820
51487,All Websites [EUR],ALL GROUPS,1,4.290
51493,All Websites [EUR],ALL GROUPS,1,1.290
51494,All Websites [EUR],ALL GROUPS,1,4.820
51495,All Websites [EUR],ALL GROUPS,1,3.880
51496,All Websites [EUR],ALL GROUPS,1,5.620
51497,All Websites [EUR],ALL GROUPS,1,14.850
51498,All Websites [EUR],ALL GROUPS,1,7.690
